@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
2043,'2024/04/23 23:41:07:938',5,252,86,58,0.9,0.5,0.5
2044,'2024/04/23 23:41:07:974',5,254,86,56,0.9,0.5,0.5
2045,'2024/04/23 23:41:08:006',5,254,86,56,0.9,0.5,0.5
2046,'2024/04/23 23:41:08:037',5,252,85,58,0.9,0.5,0.5
2047,'2024/04/23 23:41:08:069',5,252,85,58,0.9,0.5,0.5
2048,'2024/04/23 23:41:08:106',5,254,87,55,0.9,0.5,0.5
2049,'2024/04/23 23:41:08:138',5,254,87,55,0.9,0.5,0.5
2050,'2024/04/23 23:41:08:173',5,252,84,59,0.9,0.5,0.5
2051,'2024/04/23 23:41:08:207',5,252,84,59,0.9,0.5,0.5
2052,'2024/04/23 23:41:08:240',5,252,84,60,0.9,0.5,0.5
2053,'2024/04/23 23:41:08:275',5,252,84,60,0.9,0.5,0.5
2054,'2024/04/23 23:41:08:309',5,252,85,58,0.9,0.5,0.5
2055,'2024/04/23 23:41:08:344',5,252,85,58,0.9,0.5,0.5
2056,'2024/04/23 23:41:08:374',5,251,85,60,0.9,0.5,0.5
2057,'2024/04/23 23:41:08:411',5,251,85,60,0.9,0.5,0.5
2058,'2024/04/23 23:41:08:443',5,251,84,60,0.9,0.5,0.5
2059,'2024/04/23 23:41:08:475',5,251,84,60,0.9,0.5,0.5
2060,'2024/04/23 23:41:08:506',5,252,85,59,0.9,0.5,0.5
2061,'2024/04/23 23:41:08:541',5,252,85,59,0.9,0.5,0.5
2062,'2024/04/23 23:41:08:576',5,253,85,58,0.9,0.5,0.5
2063,'2024/04/23 23:41:08:609',5,253,85,58,0.9,0.5,0.5
2064,'2024/04/23 23:41:08:641',5,253,86,58,0.9,0.5,0.5
2065,'2024/04/23 23:41:08:673',5,253,86,58,0.9,0.5,0.5
2066,'2024/04/23 23:41:08:705',5,251,84,63,0.9,0.5,0.5
2067,'2024/04/23 23:41:08:739',5,251,84,63,0.9,0.5,0.5
2068,'2024/04/23 23:41:08:771',5,252,85,60,0.9,0.5,0.5
2069,'2024/04/23 23:41:08:804',5,252,85,60,0.9,0.5,0.5
2070,'2024/04/23 23:41:08:840',5,251,84,62,0.9,0.5,0.5
2071,'2024/04/23 23:41:08:874',5,251,84,62,0.9,0.5,0.5
2072,'2024/04/23 23:41:08:906',5,252,85,60,0.9,0.5,0.5
2073,'2024/04/23 23:41:08:940',5,252,85,60,0.9,0.5,0.5
2074,'2024/04/23 23:41:08:973',5,252,85,61,0.9,0.5,0.5
2075,'2024/04/23 23:41:09:005',5,252,85,61,0.9,0.5,0.5
2076,'2024/04/23 23:41:09:040',5,252,85,61,0.9,0.5,0.5
2077,'2024/04/23 23:41:09:072',5,252,85,61,0.9,0.5,0.5
2078,'2024/04/23 23:41:09:104',5,253,86,59,0.9,0.5,0.5
2079,'2024/04/23 23:41:09:139',5,253,86,59,0.9,0.5,0.5
2080,'2024/04/23 23:41:09:173',5,253,86,58,0.9,0.5,0.5
2081,'2024/04/23 23:41:09:205',5,253,86,58,0.9,0.5,0.5
2082,'2024/04/23 23:41:09:237',5,254,87,58,0.9,0.5,0.5
2083,'2024/04/23 23:41:09:274',5,254,87,58,0.9,0.5,0.5
2084,'2024/04/23 23:41:09:308',5,253,86,60,0.9,0.5,0.5
2085,'2024/04/23 23:41:09:342',5,253,86,60,0.9,0.5,0.5
2086,'2024/04/23 23:41:09:373',5,254,88,57,0.9,0.5,0.5
2087,'2024/04/23 23:41:09:407',5,254,88,57,0.9,0.5,0.5
2088,'2024/04/23 23:41:09:438',5,253,87,60,0.9,0.51,0.5
2089,'2024/04/23 23:41:09:472',5,253,87,60,0.9,0.51,0.5
2090,'2024/04/23 23:41:09:506',5,254,88,57,0.9,0.52,0.5
2091,'2024/04/23 23:41:09:541',5,254,88,57,0.9,0.53,0.5
2092,'2024/04/23 23:41:09:574',5,255,88,57,0.9,0.54,0.5
2093,'2024/04/23 23:41:09:622',5,255,88,57,0.9,0.55,0.5
2094,'2024/04/23 23:41:09:668',5,256,88,55,0.9,0.55,0.5
2095,'2024/04/23 23:41:09:716',5,253,87,59,0.9,0.55,0.5
2096,'2024/04/23 23:41:09:759',5,253,87,59,0.9,0.55,0.5
2097,'2024/04/23 23:41:09:796',5,252,86,59,0.9,0.55,0.5
2098,'2024/04/23 23:41:09:832',5,253,86,60,0.9,0.56,0.5
2099,'2024/04/23 23:41:09:866',5,253,86,60,0.9,0.56,0.5
2100,'2024/04/23 23:41:09:901',5,252,86,61,0.9,0.56,0.5
2101,'2024/04/23 23:41:09:948',5,252,86,61,0.9,0.57,0.5
2102,'2024/04/23 23:41:09:989',5,252,87,60,0.9,0.58,0.5
2103,'2024/04/23 23:41:10:024',5,252,87,60,0.9,0.58,0.5
2104,'2024/04/23 23:41:10:056',5,252,86,60,0.9,0.58,0.5
2105,'2024/04/23 23:41:10:090',5,252,86,60,0.9,0.59,0.5
2106,'2024/04/23 23:41:10:118',5,253,87,59,0.9,0.59,0.5
2107,'2024/04/23 23:41:10:150',5,253,87,59,0.9,0.59,0.5
2108,'2024/04/23 23:41:10:181',5,254,89,59,0.9,0.59,0.5
2109,'2024/04/23 23:41:10:212',5,254,89,59,0.9,0.6,0.5
2110,'2024/04/23 23:41:10:243',5,254,90,60,0.9,0.6,0.5
2111,'2024/04/23 23:41:10:274',5,254,90,60,0.9,0.6,0.5
2112,'2024/04/23 23:41:10:306',5,255,91,59,0.9,0.61,0.5
2113,'2024/04/23 23:41:10:338',5,255,91,59,0.9,0.61,0.5
2114,'2024/04/23 23:41:10:370',5,257,92,57,0.9,0.61,0.5
2115,'2024/04/23 23:41:10:403',5,257,92,57,0.9,0.61,0.5
2116,'2024/04/23 23:41:10:435',5,256,93,58,0.9,0.61,0.5
2117,'2024/04/23 23:41:10:467',5,256,93,58,0.9,0.62,0.5
2118,'2024/04/23 23:41:10:499',5,255,92,59,0.9,0.63,0.5
2119,'2024/04/23 23:41:10:531',5,255,92,59,0.9,0.63,0.5
2120,'2024/04/23 23:41:10:564',5,256,93,59,0.9,0.63,0.5
2121,'2024/04/23 23:41:10:606',5,256,93,59,0.9,0.63,0.5
2122,'2024/04/23 23:41:10:640',5,257,95,59,0.9,0.63,0.5
2123,'2024/04/23 23:41:10:671',5,257,95,59,0.9,0.63,0.5
2124,'2024/04/23 23:41:10:704',5,257,97,59,0.9,0.63,0.5
